voxel_id,fix_x,fix_y,original_id
sofa_0502_x160_y60_aug_0_0,2,127,sofa_0502_x160_y60
sofa_0216_x40_y95_aug_1_0,0,-74,sofa_0216_x40_y95
cone_0090_x175_y160_aug_2_0,0,-41,cone_0090_x175_y160
chair_0606_x80_y60_aug_3_0,1,-96,chair_0606_x80_y60
bowl_0053_x55_y145_aug_4_0,1,180,bowl_0053_x55_y145
chair_0610_x15_y170_aug_5_0,3,-160,chair_0610_x15_y170
vase_0458_x85_y130_aug_6_0,2,-153,vase_0458_x85_y130
bottle_0344_x90_y110_aug_7_0,4,-65,bottle_0344_x90_y110
bench_0091_x30_y145_aug_8_0,3,-133,bench_0091_x30_y145
bottle_0140_x105_y165_aug_9_0,2,-25,bottle_0140_x105_y165
chair_0145_x100_y85_aug_10_0,4,-19,chair_0145_x100_y85
vase_0109_x25_y70_aug_11_0,1,-120,vase_0109_x25_y70
cup_0053_x175_y0_aug_12_0,1,-120,cup_0053_x175_y0
mantel_0144_x120_y160_aug_13_0,3,-37,mantel_0144_x120_y160
vase_0203_x10_y75_aug_14_0,0,166,vase_0203_x10_y75
cup_0081_x110_y35_aug_15_0,3,142,cup_0081_x110_y35
table_0457_x110_y135_aug_16_0,4,38,table_0457_x110_y135
chair_0606_x155_y20_aug_17_0,2,25,chair_0606_x155_y20
bowl_0031_x70_y30_aug_18_0,0,119,bowl_0031_x70_y30
bathtub_0041_x45_y0_aug_19_0,0,173,bathtub_0041_x45_y0
chair_0241_x50_y60_aug_20_0,2,-62,chair_0241_x50_y60
vase_0199_x115_y135_aug_21_0,3,-46,vase_0199_x115_y135
bottle_0050_x130_y120_aug_22_0,4,79,bottle_0050_x130_y120
vase_0160_x140_y30_aug_23_0,0,180,vase_0160_x140_y30
person_0013_x90_y105_aug_24_0,4,157,person_0013_x90_y105
mantel_0144_x70_y155_aug_25_0,2,154,mantel_0144_x70_y155
vase_0247_x10_y115_aug_26_0,0,84,vase_0247_x10_y115
cup_0066_x95_y5_aug_27_0,0,-70,cup_0066_x95_y5
cone_0090_x120_y0_aug_28_0,3,30,cone_0090_x120_y0
cup_0076_x95_y50_aug_29_0,2,-149,cup_0076_x95_y50
cone_0078_x0_y60_aug_30_0,3,-169,cone_0078_x0_y60
chair_0014_x165_y55_aug_31_0,1,120,chair_0014_x165_y55
vase_0359_x35_y120_aug_32_0,1,163,vase_0359_x35_y120
cup_0022_x130_y40_aug_33_0,2,-131,cup_0022_x130_y40
laptop_0045_x5_y25_aug_34_0,4,101,laptop_0045_x5_y25
vase_0203_x150_y60_aug_35_0,3,53,vase_0203_x150_y60
bowl_0011_x50_y75_aug_36_0,3,7,bowl_0011_x50_y75
vase_0411_x60_y20_aug_37_0,1,-39,vase_0411_x60_y20
sofa_0515_x140_y165_aug_38_0,3,65,sofa_0515_x140_y165
bookshelf_0107_x20_y55_aug_39_0,4,-95,bookshelf_0107_x20_y55
bowl_0068_x95_y150_aug_40_0,1,107,bowl_0068_x95_y150
curtain_0050_x85_y25_aug_41_0,3,-42,curtain_0050_x85_y25
vase_0196_x25_y130_aug_42_0,3,-150,vase_0196_x25_y130
vase_0458_x140_y110_aug_43_0,3,40,vase_0458_x140_y110
bench_0078_x105_y135_aug_44_0,3,-19,bench_0078_x105_y135
bowl_0058_x70_y5_aug_45_0,1,-45,bowl_0058_x70_y5
cup_0081_x145_y80_aug_46_0,1,-127,cup_0081_x145_y80
sofa_0515_x80_y30_aug_47_0,1,-47,sofa_0515_x80_y30
vase_0247_x10_y115_aug_48_0,0,180,vase_0247_x10_y115
bowl_0029_x95_y10_aug_49_0,1,-129,bowl_0029_x95_y10
bookshelf_0259_x130_y15_aug_0_5,5,0,bookshelf_0259_x130_y15
chair_0605_x80_y25_aug_1_5,7,134,chair_0605_x80_y25
table_0044_x105_y45_aug_2_5,6,86,table_0044_x105_y45
bathtub_0041_x10_y60_aug_3_5,8,68,bathtub_0041_x10_y60
bowl_0081_x100_y150_aug_4_5,6,108,bowl_0081_x100_y150
dresser_0115_x150_y130_aug_5_5,8,52,dresser_0115_x150_y130
curtain_0050_x85_y25_aug_6_5,6,154,curtain_0050_x85_y25
dresser_0018_x110_y145_aug_7_5,7,114,dresser_0018_x110_y145
vase_0458_x95_y170_aug_8_5,6,-51,vase_0458_x95_y170
curtain_0030_x75_y80_aug_9_5,7,-168,curtain_0030_x75_y80
cup_0065_x115_y35_aug_10_5,5,31,cup_0065_x115_y35
table_0044_x105_y45_aug_11_5,6,-93,table_0044_x105_y45
cup_0083_x40_y95_aug_12_5,9,32,cup_0083_x40_y95
toilet_0357_x70_y0_aug_13_5,6,-88,toilet_0357_x70_y0
vase_0203_x90_y155_aug_14_5,9,-133,vase_0203_x90_y155
vase_0203_x10_y75_aug_15_5,8,96,vase_0203_x10_y75
